Words,Pronunciation
آئیوڈین,A_A I_I O_O D I_I N
آئیڈیا,A_A I_I D I J A_A
آئیڈیاز,A_A I_I D I J A_A Z
آئیڈیالوجی,A_A I_I D I J A_A L O_O D_Z I_I
آئیڈیل,A_A I_I D I J A L
آئیڈیلزم,A_A I_I D I J A L I Z M
آئیڈیلسٹ,A_A I_I D I_I L I S T
آئیکون,A_A I_I K O_O N
آئیگی,A_A I_I G I_I
آئیں,A_A A_Y_N
آئیے,A_A I_I A_Y
آئے,A_A A_Y
آئےتن,A_A A_Y T_D A N
آب,A_A B
آبا,A_A B A_A
آباء,A_A B A_A
آباؤ,A_A B A_A O_O
آبائی,A_A B A_A I_I
آبائیت,A_A B A_A I J A T_D
آباد,A_A B A_A D_D
آبادکاری,A_A B A_A D_D K A_A R I_I
آبادگان,A_A B A_A D_D G A_A N
آبادی,A_A B A_A D_D I_I
آبادیاں,A_A B A_A D_D I J A_A_N
آبادیوں,A_A B A_A D_D I_I O_O_N
آبان,A_A B A_A N
آبتین,A_A B T_D I_I N
آبدار,A_A B D_D A_A R
آبداری,A_A B D_D A_A R I_I
آبرو,A_A B R U_U
آبروؤ,A_A B R U_U O_O
آبروؤں,A_A B R U_U O_O_N
آبروئی,A_A B R U_U I_I
آبروئیں,A_A B R U_U A_Y_N
آبروئے,A_A B R U_U A_Y
آبرہ,A_A B R A_A
آبس,A_A B I S
آبستن,A_A B I S T_D A N
آبستنی,A_A B I S T_D A N I_I
آبستنیاں,A_A B I S T_D A N I J A_A_N
آبستگی,A_A B I S T_D A G I_I
آبستہ,A_A B I S T_D A_A
آبشار,A_A B S_H A_A R
آبص,A_A B I S
آبلا,A_A B L A_A
آبلوس,A_A B L U_U S
آبلوچ,A_A B L U_U T_S
آبلوں,A_A B L O_O_N
آبلہ,A_A B L A_A
آبلے,A_A B L A_Y
آبنوس,A_A B N U_U S
آبنوسوں,A_A B N U_U S O_O_N
آبنوسی,A_A B N U_U S I_I
آبنوش,A_A B N O_O S_H
آبپاری,A_A B P A_A R I_I
آبپاریاں,A_A B P A_A R I J A_A_N
آبپاشی,A_A B P A_A S_H I_I
آبگینوں,A_A B G I_I N O_O_N
آبگینہ,A_A B G I_I N A_A
آبگینے,A_A B G I_I N A_Y
آبی,A_A B I_I
آبیات,A_A B I J A_A T_D
آبیاتی,A_A B J A_A T_D I_I
آبیار,A_A B J A_A R
آبیاری,A_A B J A_A R I_I
آبیانہ,A_A B J A_A N A_A
آبیدہ,A_A B I_I D_D A_A
آبیل,A_A B I_I L
آبیلوں,A_A B I_I L O_O_N
آتا,A_A T_D A_A
آتش,A_A T_D I S_H
آدھا,A_A D_D_H A_A
آدھار,A_A D_D_H A_A R
آدھاکرنا,A_A D_D_H A_A K A R N A_A
آدھو,A_A D_D_H U_U
آدھوں,A_A D_D_H O_O_N
آدھی,A_A D_D_H I_I
آدھیاں,A_A D_D_H I J A_A_N
آدھین,A_A D_D_H I_I N
آدھینہ,A_A D_D_H I_I N A_A
آدھیو,A_A D_D_H I_I O_O
آدھیوں,A_A D_D_H I_I O_O_N
آدھیں,A_A D_D_H A_Y_N
آدھے,A_A D_D_H D_D_H A_Y
آدیش,A_A D_D A_Y S_H
آدینہ,A_A D_D I_I N A_A
آذار,A_A Z A_A R
آذاری,A_A Z A_A R I_I
آذر,A_A Z A R
آذری,A_A Z I R I_I
آذریوں,A_A Z R I_I O_O_N
آذوقہ,A_A Z V I Q A_A
آذین,A_A Z I_I N
آذینہ,A_A Z I_I N A_A
آر,A_A R
آرا,A_A R A_A
آراء,A_A R A_A
آرائش,A_A R A_A I S_H
آرائشوں,A_A R A_A I S_H O_O_N
آرائشی,A_A R A_A I S_H I_I
آرائشیں,A_A R A_A I S_H A_Y_N
آرائندوں,A_A R A_A I N D_D O_O_N
آرائندہ,A_A R A_A I N D_D A_A
آرائندے,A_A R A_A I N D_D A_Y
آرائی,A_A R A_A I_I
آرائیاں,A_A R A_A I J A_A_N
آرائیوں,A_A R A_A I_I O_O_N
آرار,A_A R A_A R
آرارا,A_A R A_A R A_A
آراستگی,A_A R A_A S T_D G I_I
آراستہ,A_A R A_A S T_D A_A
آراض,A_A R A_A Z
آراضی,A_A R A_A Z I_I
آراضیاں,A_A R A_A Z I J A_A_N
آراضین,A_A R A_A Z I_I N
آرام,A_A R A_A M
آرامش,A_A R A_A M I S_H
آراموں,A_A R A_A M O_O_N
آرامی,A_A R A_A M I_I
آرامیدہ,A_A R A_A M I_I D_D A_A
آراکش,A_A R A_A K I S_H
آرایش,A_A R A_A J I S_H
آرب,A_A R B
آربل,A_A R B A L
آربہ,A_A R B A_A
آرتھر,A_A R T_D_H A R
آرتھی,A_A R T_D_H I_I
آرتی,A_A R T_D I_I
آرتیاں,A_A R T_D I J A_A_N
آرتیوں,A_A R T_D I_I O_O_N
آرج,A_A R D_Z
آردر,A_A R D_D A R
آردشیر,A_A R D_D I S_H I_I R
آردین,A_A R D_D I_I N
آرزم,A_A R Z A M
آرزو,A_A R Z U_U
آرزوؤ,A_A R Z U_U O_O
آرزوؤں,A_A R Z U_U O_O_N
آرزوئیں,A_A R Z U_U A_Y_N
آرزوئے,A_A R Z U_U A_Y
آرس,A_A R S
آرسہ,A_A R S A_A
آرسی,A_A R S I_I
آرسیاں,A_A R S I J A_A_N
آرسینک,A_A R S I_I N K
آرسیوں,A_A R S I_I O_O_N
آرلین,A_A R L I_I N
آرمڈ,A_A R M D
آرمی,A_A R M I_I
آرمیدگان,A_A R M I_I D_D A G A_A N
آرمیدگی,A_A R M I_I D_D A G I_I
آرمیدگیاں,A_A R M I_I D_D A G I_I A_A_N
آرمیدگیوں,A_A R M I_I D_D A G I_I O_O_N
آرمیدہ,A_A R M I_I D_D A_A
آرمینیا,A_A R M I_I N I J A_A
آرمیڈا,A_A R M I_I D A_A
آرن,A_A R N
آرندگان,A_A R N D_D G A_A N
آرندہ,A_A R I N D_D A_A
آرنلڈ,A_A R N L D
آروغ,A_A R U_U G_G
آرولہ,A_A R U_U L A_A
آروں,A_A R O_O_N
آروین,A_A R V I_I N
آرٹ,A_A R T
آرٹس,A_A R T S
آرٹسٹ,A_A R T I S T
آرٹسٹس,A_A R T I S T S
آرٹسٹوں,A_A R T I S T O_O_N
آرٹسٹک,A_A R T I S T I K
آرٹوں,A_A R T O_O_N
آرٹکل,A_A R T I K A L
آرٹیکل,A_A R T I_I K A L
آرٹیکلز,A_A R T I_I K A L Z
آرٹیکلوں,A_A R T I_I K A L O_O_N
آرپار,A_A R P A_A R
آرپن,A_A R P A N
آرچ,A_A R T_S
آرڈر,A_A R D A R
آرڈرز,A_A R D A R Z
آرڈروں,A_A R D A R O_O_N
آرڈنری,A_A R D N A R I_I
آرڈیننس,A_A R D I_I N A N S
آرڈیننسز,A_A R D I_I N I N S I Z
آرڈیننسوں,A_A R D I_I N A N S O_O_N
آرکسٹرا,A_A R K A S T A R A_A
آرکسٹراز,A_A R K A S T A R A_A Z
آرکسٹروں,A_A R K A S T A R O_O_N
آرکی,A_A R K I_I
آرکیالوجسٹ,A_A R K I J A_A L O_O D_Z I S T
آرکیالوجسٹس,A_A R K I J A_A L O_O D_Z I S T S
آرکیالوجسٹوں,A_A R K I J A_A L O_O D_Z I S T O_O_N
آرکیالوجی,A_A R K I J A_A L O_O D_Z I_I
آرکیالوجیکل,A_A R K I J A_A L O_O D_Z I_I K A L
آرکین,A_A R K I_I N
آرکیڈ,A_A R K A_E D
آرگ,A_A R G
آرگن,A_A R G A N
آرگنائزیشن,A_A R G A N A_A I Z A_Y S_H A N
آرگنائزیشنز,A_A R G A N A_A I Z A_Y S_H A N Z
آرگنائزیشنوں,A_A R G A N A_A I Z A_Y S_H A N O_O_N
آرگنائزیشنیں,A_A R G A N A_A I Z A_Y S_H A N A_Y_N
آرگنائیزر,A_A R G N A_A I_I Z A R
آرگنائیزرز,A_A R G N A_A I_I Z A R Z
آرگنائیزروں,A_A R G N A_A I_I Z A R O_O_N
آرگنائیزیشن,A_A R G A N A_A I_I Z A_Y S_H A N
آرہ,A_A R A_A
آرہا,A_A R H A_A
آرہی,A_A R H I_I
آرہے,A_A R H A_Y
آری,A_A R I_I
آریا,A_A R J A_A
آریاؤ,A_A R J A_A O_O
آریاؤں,A_A R J A_A O_O_N
آریائی,A_A R J A_A I_I
آریاوی,A_A R J A_A V I_I
آریاں,A_A R J A_A_N
آریز,A_A R I_I Z
آریلہ,A_A R I_I L A_A
آریوں,A_A R I_I O_O_N
آریں,A_A R A_Y_N
آریہ,A_A R J A_A
آرے,A_A R A_Y
آز,A_A Z
آزاد,A_A Z A_A D_D
آزادانہ,A_A Z A_A D_D A_A N A_A
آزادنامہ,A_A Z A_A D_D N A_A M A_A
آزادوں,A_A Z A_A D_D O_O_N
آزادکشمیر,A_A Z A_A D_D K A S_H M I_I R
آزادگان,A_A Z A_A D_D G A_A N
آزادگی,A_A Z A_A D_D G I_I
آزادگیاں,A_A Z A_A D_D G I J A_A_N
آزادہ,A_A Z A_A D_D A_A
آزادی,A_A Z A_A D_D I_I
آزادیاں,A_A Z A_A D_D I J A_A_N
آزادیوں,A_A Z A_A D_D I_I O_O_N
آزار,A_A Z A_A R
آزاردہ,A_A Z A_A R D_D A_A
آزاروں,A_A Z A_A R O_O_N
آزاری,A_A Z A_A R I_I
آزاریاں,A_A Z A_A R I J A_A_N
آزاریوں,A_A Z A_A R I_I O_O_N
آزاریں,A_A Z A_A R A_Y_N
آزالہ,A_A Z A_A L A_A
آزبن,A_A Z B A N
آزبک,A_A Z B I K
آزر,A_A Z A R
آزربائیجان,A_A Z R B A_A I_I D_Z A_A N
آزردگان,A_A Z A R D_D A G A_A N
آزردگاں,A_A Z A R D_D A G A_A_N
آزردگی,A_A Z A R D_D A G I_I
آزردگیاں,A_A Z A R D_D A G I J A_A_N
آزردگیوں,A_A Z A R D_D A G I_I O_O_N
آزردہ,A_A Z A R D_D A_A
آزرم,A_A Z R A M
آزرمیں,A_A Z A R M A_Y_N
آزری,A_A Z I R I_I
آزف,A_A Z I F
آزفہ,A_A Z I F A_A
آزلہ,A_A Z I L A_A
آزما,A_A Z M A_A
آزماؤ,A_A Z M A_A O_O
آزماؤں,A_A Z M A_A O_O_N
آزمائش,A_A Z M A_A I S_H
آزمائشو,A_A Z M A_A I S_H O_O
آزمائشوں,A_A Z M A_A I S_H O_O_N
آزمائشی,A_A Z M A_A I S_H I_I
آزمائشیں,A_A Z M A_A I S_H A_Y_N
آزمائی,A_A Z M A_A I_I
آزمائیش,A_A Z M A_A I_I S_H
آزمائیو,A_A Z M A_A I_I V
آزمائیں,A_A Z M A_A A_Y_N
آزمائیے,A_A Z M A_A I_I A_Y
آزمائے,A_A Z M A_A A_Y
آزماتا,A_A Z M A_A T_D A_A
آزماتی,A_A Z M A_A T_D I_I
آزماتیں,A_A Z M A_A T_D A_Y_N
آزماتے,A_A Z M A_A T_D A_Y
آزمانا,A_A Z M A_A N A_A
آزمانی,A_A Z M A_A N I_I
آزمانے,A_A Z M A_A N A_Y
آزماونا,A_A Z M A_A V N A_A
آزمایا,A_A Z M A_A J A_A
آزماے,A_A Z M A_A A_Y
آزمند,A_A Z M A N D_D
آزمودگان,A_A Z M U_U D_D A G A_A N
آزمودہ,A_A Z M U_U D_D A_A
آزمہ,A_A Z M A_A
آس,A_A S
آسا,A_A S A_A
آسائش,A_A S A_A I S_H
آسائشوں,A_A S A_A I S_H O_O_N
آسائشی,A_A S A_A I S_H I_I
آسائشیں,A_A S A_A I S_H A_Y_N
آساد,A_A S A_A D_D
آسام,A_A S A_A M
آسامی,A_A S A_A M I_I
آسامیاں,A_A S A_A M I J A_A_N
آسامیوں,A_A S A_A M I_I O_O_N
آسان,A_A S A_A N
آسانگی,A_A S A_A N_G I_I
آسانگیاں,A_A S A_A N_G G I J A_A_N
آسانی,A_A S A_A N I_I
آسانیاں,A_A S A_A N I J A_A_N
آسانیت,A_A S A_A N I_I J A T_D
آسانیتیں,A_A S A_A N I J A T_D A_Y_N
آسانیوں,A_A S A_A N I_I O_O_N
آساں,A_A S A_A_N
آستا,A_A S T_D A_A
آستائی,A_A S T_D A_A I_I
آستائیاں,A_A S T_D A_A I J A_A_N
آستائیوں,A_A S T_D A_A I_I O_O_N
آستان,A_A S T_D A_A N
آستانوں,A_A S T_D A_A N O_O_N
آستانہ,A_A S T_D A_A N A_A
آستانے,A_A S T_D A_A N A_Y
آستاوا,A_A S T_D A_A V A_A
آستاوے,A_A S T_D A_A V A_Y
آستاں,A_A S T_D A_A_N
آستر,A_A S T_D A R
آسترے,A_A S T_D R A_Y
آستک,A_A S T_D A K
آستکوں,A_A S T_D A K O_O_N
آستکیں,A_A S T_D A K A_Y_N
آستھم,A_A S T_D_H A M
آستین,A_A S T_D I_I N
آستینوں,A_A S T_D I_I N O_O_N
آستینیں,A_A S T_D I_I N A_Y_N
آستیں,A_A S T_D I_I_N
آستے,A_A S T_D A_Y
آسر,A_A S A R
آسرا,A_A S R A_A
آسرم,A_A S A R M
آسرو,A_A S R U_U
آسروؤ,A_A S R U_U O_O
آسروؤں,A_A S R U_U O_O_N
آسروں,A_A S R O_O_N
آسرہ,A_A S I R A_A
آسری,A_A S R I_I
آسرے,A_A S R A_Y
آسغہ,A_A S G_G A_A
آسمان,A_A S M A_A N
آسمانوں,A_A S M A_A N O_O_N
آسمانی,A_A S M A_A N I_I
آسماں,A_A S M A_A_N
آسمہ,A_A S M A_A
آسن,A_A S A N
آسنوں,A_A S A N O_O_N
آسنکا,A_A S I N K A_A
آسنکاؤ,A_A S I N K A_A O_O
آسنکاؤں,A_A S N U K A_A O_O_N
آسنکائیں,A_A S N U K A_A A_Y_N
آسنی,A_A S N I_I
آسنیاں,A_A S N I J A_A_N
آسنیں,A_A S A N A_Y_N
آسوج,A_A S U_U D_Z
آسود,A_A S U_U D_D
آسودا,A_A S U_U D_D A_A
آسودگان,A_A S U_U D_D A G A_A N
آسودگی,A_A S U_U D_D A G I_I
آسودگیاں,A_A S U_U D_D A G I J A_A_N
آسودگیوں,A_A S U_U D_D A G I_I O_O_N
آسودہ,A_A S U_U D_D A_A
آسودے,A_A S U_U D_D A_Y
آسوں,A_A S O_O_N
آسٹروٹرف,A_A S T A R O_O T A R A F
آسٹرک,A_A S T A R I K
آسٹرکوں,A_A S T A R K O_O_N
آسٹریا,A_A S T A R I J A_A
آسٹریائی,A_A S T A R J A_A I_I
آسٹریائیوں,A_A S T A R J A_A I_I O_O_N
آسٹریلوی,A_A S T A R A_Y L V I_I
آسٹریلیا,A_A S T A R A_Y L I J A_A
آسٹریلین,A_A S T A R I_I L I J A N
آسٹریلینوں,A_A S T A R I_I L I_I N O_O_N
آسٹریکین,A_A S T A R I_I K A_E N
آسٹونیا,A_A S T O_O N I J A_A
آسڑک,A_A S A R_R A K
آسکا,A_A S K A_A
آسکت,A_A S K A T_D
آسکتا,A_A S A K T_D A_A
آسکتانا,A_A S I K T_D A_A N A_A
آسکتی,A_A S A K T_D I_I
آسکتیاں,A_A S K A T_D J A_A_N
آسکتے,A_A S A K T_D A_Y
آسکر,A_A S K A R
آسکی,A_A S K I_I
آسکیں,A_A S K A_Y_N
آسکے,A_A S K A_Y
آسہ,A_A S A_A
آسہہ,A_A S I H A_A
آسی,A_A S I_I
آسیا,A_A S J A_A
آسیاؤں,A_A S J A_A O_O_N
آسیائے,A_A S J A_A A_Y
آسیاب,A_A S J A_A B
آسیانوں,A_A S J A_A N O_O_N
آسیانہ,A_A S J A_A N A_A
آسیانے,A_A S J A_A N A_Y
آسیب,A_A S A_Y B
آسیبوں,A_A S A_Y B O_O_N
آسیبی,A_A S A_Y B I_I
آسیبیا,A_A S A_Y B I J A_A
آسیبیوں,A_A S A_Y B I_I O_O_N
آسیبیے,A_A S A_Y B I_I A_Y
آسیت,A_A S I_I J A T_D
آسیتی,A_A S I_I T_D I_I
آسیتیں,A_A S I_I J A T_D A_Y_N
آسیر,A_A S I_I R
آسیرات,A_A S I_I R A_A T_D
آسیری,A_A S I_I R I_I
آسیریات,A_A S I_I R I J A_A T_D
آسیریں,A_A S I_I R A_Y_N
آسیموں,A_A S I_I M O_O_N
آسیمہ,A_A S I_I M A_A
آسیو,A_A S I_I O_O
آسیوں,A_A S I_I O_O_N
آسیں,A_A S A_Y_N
آسیہ,A_A S I_I
آسے,A_A S A_Y
آش,A_A S_H
آشا,A_A S_H A_A
آشاؤ,A_A S_H A_A O_O
آشاؤں,A_A S_H A_A O_O_N
آشائیں,A_A S_H A_A A_Y_N
آشام,A_A S_H A_A M
آشاموں,A_A S_H A_A M O_O_N
آشامی,A_A S_H A_A M I_I
آشب,A_A S_H I B
آشبہ,A_A S_H B A_A
آشتاوہ,A_A S_H T_D A_A V A_A
آشتی,A_A S_H T_D I_I
آشتیاں,A_A S_H T_D I J A_A_N
آشتیوں,A_A S_H T_D I_I O_O_N
آشرا,A_A S_H R A_A
آشرباد,A_A S_H R B A_A D_D
آشرم,A_A S_H R A M
آشرموں,A_A S_H R A M O_O_N
آشرہ,A_A S_H R A_A
آشری,A_A S_H R I_I
آشریاں,A_A S_H R I J A_A_N
آشریوں,A_A S_H R I_I O_O_N
آشرے,A_A S_H R A_Y
آشفتگان,A_A S_H I F T_D A G A_A N
آشفتگاں,A_A S_H I F T_D A G A_A_N
آشفتگی,A_A S_H I F T_D A G I_I
آشفتگیاں,A_A S_H I F T_D A G I J A_A_N
آشفتگیوں,A_A S_H I F T_D A G I_I O_O_N
آشفتہ,A_A S_H U F T_D A_A
آشمال,A_A S_H M A_A L
آشمالی,A_A S_H M A_A L I_I
آشنا,A_A S_H N A_A
آشناؤں,A_A S_H N A_A O_O_N
آشنائی,A_A S_H N A_A I_I
آشنائیاں,A_A S_H N A_A I J A_A_N
آشنائیوں,A_A S_H N A_A I_I O_O_N
آشنائیں,A_A S_H N A_A A_Y_N
آشنان,A_A S_H N A_A N
آشناو,A_A S_H N A_A V
آشناور,A_A S_H N A_A V A R
آشوب,A_A S_H U_U B
آشوبوں,A_A S_H U_U B O_O_N
آشوبی,A_A S_H O_O B I_I
آشوبیت,A_A S_H O_O B I_I J A T_D
آشوبیتوں,A_A S_H O_O B I_I J A T_D O_O_N
آشوبیتیں,A_A S_H O_O B I_I J A T_D A_Y_N
آشوبیوں,A_A S_H O_O B I_I O_O_N
آشور,A_A S_H U_U R
آشوری,A_A S_H U_U R I_I
آشوریات,A_A S_H O_O R I J A_A T_D
آشون,A_A S_H U_U N
آشچرج,A_A S_H T_S A R I D_Z
آشکار,A_A S_H K A_A R
آشکارا,A_A S_H K A_A R A_A
آشکارائی,A_A S_H K A_A R A_A I_I
آشکارائیاں,A_A S_H K A_A R A_A I J A_A_N
آشکاروں,A_A S_H K A_A R O_O_N
آشکارہ,A_A S_H K A_A R A_A
آشکاری,A_A S_H K A_A R I_I
آشکاریاں,A_A S_H K A_A R I J A_A_N
آشکاریوں,A_A S_H K A_A R I_I O_O_N
آشیا,A_A S_H I J A_A
آشیائی,A_A S_H J A_A I_I
آشیان,A_A S_H I J A_A N
آشیانوں,A_A S_H J A_A N O_O_N
آشیانہ,A_A S_H J A_A N A_A
آشیانی,A_A S_H J A_A N I_I
آشیانیاں,A_A S_H J A_A N I J A_A_N
آشیانیوں,A_A S_H J A_A N I_I O_O_N
آشیانے,A_A S_H J A_A N A_Y
آشیاں,A_A S_H I J A_A_N
آشیرباد,A_A S_H I_I R B A_A D_D
آشیربچن,A_A S_H I_I R B A T_S A N
آشیرواد,A_A S_H I_I R V A_A D_D
آصال,A_A S A_A L
آصف,A_A S I F
آصفہ,A_A S I F A_A
آصفی,A_A S I F I_I
آصفیہ,A_A S I F I J A_A
آغا,A_A G_G A_A
آغاؤں,A_A G_G A_A O_O_N
آغاز,A_A G_G A_A Z
آغازوں,A_A G_G A_A Z O_O_N
آغال,A_A G_G A_A L
آغالیں,A_A G_G A_A L A_Y_N
آغامینا,A_A G_G A_A M I_I N A_A
آغانی,A_A G_G A_A N I_I
آغر,A_A G_G A R
آغشتوں,A_A G_G I S_H T_D O_O_N
آغشتگان,A_A G_G I S_H T_D A G A_A N
آغشتہ,A_A G_G A S_H T_D A_A
آغل,A_A G_G A L
آغوش,A_A G_G O_O S_H
آغوشوں,A_A G_G O_O S_H O_O_N
آغوشی,A_A G_G O_O S_H I_I
آغوشیوں,A_A G_G O_O S_H I_I O_O_N
آغوشیں,A_A G_G O_O S_H A_Y_N
آغوں,A_A G_G O_O_N
آف,A_A F
آفات,A_A F A_A T_D
آفاق,A_A F A_A Q
آفاقی,A_A F A_A Q I_I
آفاقیت,A_A F A_A Q I_I J A T_D
آفاقیتیں,A_A F A_A Q I_I J A T_D A_Y_N
آفت,A_A F A T_D
آفتاب,A_A F T_D A_A B
آفتابستان,A_A F A_A B A S T_D A_A N
آفتابو,A_A F T_D A_A B U_U
آفتابوں,A_A F T_D A_A B O_O_N
آفتابچی,A_A F T_D A_A B T_S I_I
آفتابچیاں,A_A F T_D A_A B T_S I J A_A_N
آفتابچیوں,A_A F T_D A_A B T_S I_I O_O_N
آفتابہ,A_A F T_D A_A B A_A
آفتابی,A_A F T_D A_A B I_I
آفتابیاں,A_A F T_D A_A B I J A_A_N
آفتابیوں,A_A F T_D A_A B I_I O_O_N
آفتابے,A_A F T_D A_A B A_Y
آفتاوا,A_A F T_D A_A V A_A
آفتاوے,A_A F T_D A_A V A_Y
آفتو,A_A F T_D U_U
آفتوں,A_A F A T_D O_O_N
آفتی,A_A F T_D I_I
آفتیوں,A_A F T_D I_I O_O_N
آفتیں,A_A F A T_D A_Y_N
آفتیے,A_A F T_D I_I A_Y
آفدہ,A_A F I D_D A_A
آفذ,A_A F I Z
آفر,A_A F A R
آفرز,A_A F A R Z
آفروزہ,A_A F R O_O Z A_A
آفروں,A_A F R O_O_N
آفری,A_A F R I_I
آفریدوں,A_A F R I_I D_D O_O_N
آفریدگار,A_A F R I_I D_D G A_A R
آفریدگاروں,A_A F R I_I D_D G A_A R O_O_N
آفریدگاری,A_A F R I_I D_D G A_A R I_I
آفریدگاریاں,A_A F R I_I D_D G A_A R I J A_A_N
آفریدگان,A_A F R I_I D_D G A_A N
آفریدہ,A_A F R I_I D_D A_A
آفریدی,A_A F R I_I D_D I_I
آفریدیو,A_A F R I_I D_D I_I O_O
آفریدیوں,A_A F R I_I D_D I_I O_O_N
آفرین,A_A F R I_I N
آفرینش,A_A F R I_I N I S_H
آفرینندوں,A_A F R I_I N A N D_D O_O_N
آفرینندگان,A_A F R I_I N I N D_D A G A_A N
آفرینندہ,A_A F A R I_I N A N D_D A_A
آفرینوں,A_A F R I_I N O_O_N
آفرینی,A_A F R I_I N I_I
آفرینیں,A_A F R I_I N A_Y_N
آفریں,A_A F R A_Y_N
آفس,A_A F I S
آفسز,A_A F I S I Z
آفسوں,A_A F I S O_O_N
آفسٹ,A_A F I S T
آفل,A_A F I L
آفندی,A_A F A N D_D I_I
آفوس,A_A F U_U S
آفیت,A_A F I_I J A T_D
آفیسر,A_A F I_I S A R
آفیسرز,A_A F I_I S A R Z
آفیشل,A_A F I_I S_H A L
آفیشلز,A_A F I_I S_H A L Z
آفیں,A_A F A_Y_N
آقا,A_A Q A_A
آقاؤں,A_A Q A_A O_O_N
آقائی,A_A Q A_A I_I
آقائیاں,A_A Q A_A I J A_A_N
آقائیت,A_A Q A_A I J A T_D
آقائیتوں,A_A Q A_A I_I J A T_D O_O_N
آقائیتیں,A_A Q A_A I J A T_D A_Y_N
آقائیوں,A_A Q A_A I_I O_O_N
آقائے,A_A Q A_A A_Y
آقاسی,A_A Q A_A S I_I
آقتدبیگی,A_A Q T_D A D_D B I_I G I_I
آل,A_A L
آلا,A_A L A_A
آلائش,A_A L A_A I S_H
آلائشوں,A_A L A_A I S_H O_O_N
آلائشی,A_A L A_A I S_H I_I
آلائشیں,A_A L A_A I S_H A_Y_N
آلابالا,A_A L A_A B A_A L A_A
آلات,A_A L A_A T_D
آلاتی,A_A L A_A T_D I_I
آلاراسی,A_A L A_A R A_A S I_I
آلاراسیاں,A_A L A_A R A_A S I_I A_A_N
آلام,A_A L A_A M
آلان,A_A L A_A N
آلانوں,A_A L A_A N O_O_N
آلاپ,A_A L A_A P
آلاپا,A_A L A_A P A_A
آلاپتا,A_A L A_A P T_D A_A
آلاپتی,A_A L A_A P T_D I_I
آلاپتیں,A_A L A_A P A T_D A_Y_N
آلاپتے,A_A L A_A P T_D A_Y
آلاپنا,A_A L A_A P N A_A
آلاپنی,A_A L A_A P N I_I
آلاپنے,A_A L A_A P N A_Y
آلاپی,A_A L A_A P I_I
آلاپیں,A_A L A_A P A_Y_N
آلاپیے,A_A L A_A P I_I A_Y
آلاپے,A_A L A_A P A_Y
آلایش,A_A L A_A J I S_H
آلب,A_A L I B
آلت,A_A L A T_D
آلتا,A_A L T_D A_A
آلتمغا,A_A L T_D A M G_G A_A
آلدہ,A_A L D_D A_A
آلس,A_A L I S
آلسی,A_A L S I_I
آلسیا,A_A L S I J A_A
آلسیوں,A_A L S I_I O_O_N
آلغہ,A_A L G_G A_A
آلف,A_A L I F
آلفتگان,A_A L F A T_D G A_A N
آلفتگی,A_A L F A T_D G I_I
آلفتگیاں,A_A L I F T_D A G I J A_A_N
آلفتہ,A_A L F A T_D A_A
آلفہ,A_A L F A_A
آلن,A_A L A N
آلنگ,A_A L I N_G
آلنگن,A_A L I N_G G A N
آلنگی,A_A L A N_G G I_I
آلو,A_A L U_U
آلوؤ,A_A L U_U O_O
آلوؤں,A_A L U_U O_O_N
